transaction_id,source,target,month,day,weekday,hour,min,sec,channel,payment_system,category_0,category_1,category_2,amount,age,initial_balance,assigned_bank_type,assigned_bank,laundering_schema_type,laundering_schema_id,laundering_yn
122239578,cash_152,719200,8,11,Tuesday,12,6,38,OTHER,LINK,income,other_income,cash_deposits,1200.0,30.0,1630.62,local,local_2,laundering_schema_4,laundering_schema_4_id96,1
30420246,178900,1650060,2,4,Tuesday,21,56,22,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,440.0,30.0,2371.08,large,large_2,laundering_schema_3,laundering_schema_3_id21,1
276684222,1627912,cash_200,3,14,Saturday,16,39,31,CARD,LINK,other_expenses,cash_withdrawal,other,510.0,30.0,19580.108,large,large_2,laundering_schema_7,laundering_schema_7_id51,1
208349828,1225516,cryptocurrency_exchange_3,4,22,Wednesday,17,15,22,OTHER,OTHER,financial_assets,cryptocurrency,purchase,240.0,80.0,38017.38,large_digital,large_digital_1,laundering_schema_3,laundering_schema_3_id141,1
60680105,357138,cash_188,5,31,Sunday,12,31,31,CARD,LINK,other_expenses,cash_withdrawal,other,320.0,35.0,12776.27,large,large_1,laundering_schema_7,laundering_schema_7_id82,1
224600152,1321421,foreign_8,5,15,Friday,12,27,20,FOREIGN WIRE TRANSFER,CHAPS,other_expenses,other,other,846.52,35.0,48461.97,local,local_3,laundering_schema_2,laundering_schema_2_id142,1
46735362,275074,foreign_3,6,12,Friday,18,5,47,FOREIGN WIRE TRANSFER,CHAPS,other_expenses,other,other,739.82,25.0,6477.408,large,large_1,laundering_schema_2,laundering_schema_2_id118,1
120172491,706987,cash_178,5,26,Tuesday,16,23,9,CARD,LINK,other_expenses,cash_withdrawal,other,560.0,65.0,2539.6805423088904,large,large_1,laundering_schema_7,laundering_schema_7_id94,1
216389635,1272815,cryptocurrency_exchange_9,3,6,Friday,3,15,53,SDD,BACS,financial_assets,cryptocurrency,purchase,1169.0,30.0,18159.271,large,large_2,laundering_schema_3,laundering_schema_3_id101,1
11277540,66176,cash_193,2,13,Thursday,13,23,56,CARD,LINK,other_expenses,cash_withdrawal,other,140.0,30.0,236046.918,large,large_1,laundering_schema_7,laundering_schema_7_id134,1
113116176,665772,463738,8,25,Tuesday,20,21,6,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,5529.55,65.0,20018.320000000003,large,large_1,laundering_schema_1,laundering_schema_1_id191,1
118375102,696464,foreign_1,9,14,Monday,0,44,28,FOREIGN WIRE TRANSFER,CHAPS,other_expenses,other,other,178.6,55.0,16620.0,large,large_1,laundering_schema_2,laundering_schema_2_id150,1
168171393,989195,cash_31,9,19,Saturday,13,19,33,CARD,LINK,other_expenses,cash_withdrawal,other,780.0,30.0,17102.355928709683,local,local_2,laundering_schema_6,laundering_schema_6_id110,1
109250582,642815,cash_76,7,8,Wednesday,14,19,41,CARD,LINK,other_expenses,cash_withdrawal,other,320.0,55.0,183617.46000000002,local,local_2,laundering_schema_7,laundering_schema_7_id178,1
253334030,cash_15,1490124,5,21,Thursday,15,10,10,OTHER,LINK,income,other_income,cash_deposits,4550.0,70.0,16858.41,local,local_3,laundering_schema_4,laundering_schema_4_id98,1
126129157,741795,cash_64,6,25,Thursday,15,8,14,CARD,LINK,other_expenses,cash_withdrawal,other,190.0,35.0,767.12,local,local_2,laundering_schema_5,laundering_schema_5_id37,1
128065057,753310,cash_27,6,5,Friday,8,36,3,CARD,LINK,other_expenses,cash_withdrawal,other,570.0,60.0,145602.81,local,local_2,laundering_schema_6,laundering_schema_6_id28,1
172163977,1012757,cash_47,7,23,Thursday,15,59,56,CARD,LINK,other_expenses,cash_withdrawal,other,500.0,50.0,19449.324,large,large_1,laundering_schema_5,laundering_schema_5_id51,1
231936362,1364467,cash_194,6,11,Thursday,14,0,9,CARD,LINK,other_expenses,cash_withdrawal,other,870.0,60.0,-149.28293648859412,local,local_3,laundering_schema_6,laundering_schema_6_id151,1
486142,2815,cash_151,3,12,Thursday,16,4,16,CARD,LINK,other_expenses,cash_withdrawal,other,480.0,35.0,6921.647383450109,large_digital,large_digital_1,laundering_schema_6,laundering_schema_6_id113,1
296162545,1742473,cash_165,6,12,Friday,11,30,37,CARD,LINK,other_expenses,cash_withdrawal,other,170.0,35.0,290275.73,local,local_3,laundering_schema_5,laundering_schema_5_id97,1
180920335,1064245,cash_2,4,28,Tuesday,12,39,30,CARD,LINK,other_expenses,cash_withdrawal,other,820.0,65.0,236961.57,local,local_2,laundering_schema_6,laundering_schema_6_id45,1
102765683,604822,1804194,5,3,Sunday,11,39,48,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,930.0,30.0,43541.98,local,local_3,laundering_schema_3,laundering_schema_3_id169,1
2167521,12790,cash_29,5,30,Saturday,12,49,26,CARD,LINK,other_expenses,cash_withdrawal,other,520.0,25.0,6245.295,local,local_1,laundering_schema_5,laundering_schema_5_id196,1
288428885,cryptocurrency_exchange_10,1697041,3,18,Wednesday,2,13,25,OTHER,OTHER,financial_assets,cryptocurrency,sale,6950.0,40.0,300900.02,large_digital,large_digital_1,laundering_schema_1,laundering_schema_1_id139,1
53269528,313517,cash_80,6,28,Sunday,14,19,32,CARD,LINK,other_expenses,cash_withdrawal,other,690.0,40.0,1389.7104453322868,large_digital,large_digital_1,laundering_schema_6,laundering_schema_6_id96,1
295812332,1740382,cash_16,7,30,Thursday,4,22,20,CARD,LINK,other_expenses,cash_withdrawal,other,400.0,30.0,8069.562000000001,local,local_3,laundering_schema_5,laundering_schema_5_id199,1
133222482,783512,foreign_10,3,7,Saturday,3,50,22,FOREIGN WIRE TRANSFER,CHAPS,other_expenses,other,other,1121.56,35.0,291269.456,local,local_2,laundering_schema_2,laundering_schema_2_id136,1
9212487,cryptocurrency_exchange_7,54191,1,6,Monday,17,58,35,WIRE TRANSFER,FPS,financial_assets,cryptocurrency,sale,2772.0,20.0,86717.064,local,local_1,laundering_schema_2,laundering_schema_2_id148,1
148499778,873049,cryptocurrency_exchange_6,2,5,Wednesday,22,52,11,OTHER,OTHER,financial_assets,cryptocurrency,purchase,760.0,70.0,204626.43,local,local_2,laundering_schema_3,laundering_schema_3_id48,1
6572208,38613,1650396,2,20,Thursday,18,9,46,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,1720.0,25.0,60804.016,local,local_3,laundering_schema_3,laundering_schema_3_id80,1
276107882,1624489,cash_150,4,4,Saturday,17,7,38,CARD,LINK,other_expenses,cash_withdrawal,other,930.0,35.0,2033.3658966868084,large,large_2,laundering_schema_6,laundering_schema_6_id176,1
274286610,1613579,cash_189,6,17,Wednesday,11,52,8,CARD,LINK,other_expenses,cash_withdrawal,other,700.0,20.0,11380.421,large,large_2,laundering_schema_7,laundering_schema_7_id3,1
210590620,1238797,cash_187,8,24,Monday,20,43,45,CARD,LINK,other_expenses,cash_withdrawal,other,570.0,60.0,442617.21699999995,local,local_3,laundering_schema_5,laundering_schema_5_id31,1
130012636,764774,foreign_3,4,6,Monday,10,49,18,FOREIGN WIRE TRANSFER,CHAPS,other_expenses,other,other,1175.77,40.0,5235.64,large,large_1,laundering_schema_2,laundering_schema_2_id30,1
38379536,225666,cash_66,5,24,Sunday,9,36,25,CARD,LINK,other_expenses,cash_withdrawal,other,140.0,40.0,19732.69,large,large_1,laundering_schema_7,laundering_schema_7_id36,1
240094560,1412096,cash_101,7,30,Thursday,10,38,35,CARD,LINK,other_expenses,cash_withdrawal,other,910.0,45.0,5090.8640000000005,large,large_2,laundering_schema_6,laundering_schema_6_id179,1
153068849,900180,foreign_7,6,20,Saturday,16,24,1,FOREIGN WIRE TRANSFER,CHAPS,other_expenses,other,other,734.67,45.0,80440.11,local,local_2,laundering_schema_2,laundering_schema_2_id168,1
95580912,562552,cash_7,4,10,Friday,13,6,1,CARD,LINK,other_expenses,cash_withdrawal,other,690.0,35.0,14942.752,local,local_1,laundering_schema_5,laundering_schema_5_id136,1
93600171,550769,1107298,1,14,Tuesday,14,31,26,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,1840.0,55.0,5795.094643835513,local,local_2,laundering_schema_3,laundering_schema_3_id6,1
110266294,648894,cash_127,6,14,Sunday,4,8,37,CARD,LINK,other_expenses,cash_withdrawal,other,400.0,25.0,1853.1040000000003,large,large_1,laundering_schema_7,laundering_schema_7_id96,1
275889671,1623177,cryptocurrency_exchange_9,5,5,Tuesday,21,21,36,OTHER,OTHER,financial_assets,cryptocurrency,purchase,4741.0,50.0,4422.629999999999,large,large_2,laundering_schema_3,laundering_schema_3_id72,1
139360673,819457,926983,3,1,Sunday,12,3,19,WIRE TRANSFER,FPS,money_exchange_between_private_parties,other,other,1537.75,80.0,-96.25124311823237,local,local_2,laundering_schema_4,laundering_schema_4_id80,1
210844056,1240311,cash_54,10,30,Friday,14,24,36,CARD,LINK,other_expenses,cash_withdrawal,other,650.0,30.0,51084.49600000001,small_digital,small_digital_2,laundering_schema_7,laundering_schema_7_id70,1
79641157,468608,foreign_10,8,30,Sunday,11,51,28,FOREIGN WIRE TRANSFER,CHAPS,other_expenses,other,other,866.61,55.0,116362.649,large,large_1,laundering_schema_2,laundering_schema_2_id7,1
64594640,cryptocurrency_exchange_10,380031,7,29,Wednesday,15,38,34,WIRE TRANSFER,FPS,financial_assets,cryptocurrency,sale,3550.0,45.0,59732.894,large,large_1,laundering_schema_1,laundering_schema_1_id110,1
101800287,599164,cash_57,8,13,Thursday,15,18,39,CARD,LINK,other_expenses,cash_withdrawal,other,720.0,35.0,21923.056,large_digital,large_digital_1,laundering_schema_7,laundering_schema_7_id147,1
121945602,717450,cash_128,4,6,Monday,11,40,15,CARD,LINK,other_expenses,cash_withdrawal,other,590.0,30.0,31760.784000000003,local,local_2,laundering_schema_7,laundering_schema_7_id34,1
