transaction_id,account_id,month,day,weekday,hour,min,sec,transaction_direction,channel,payment_system,category_0,category_1,category_2,amount,counterpart_id,age,initial_balance,assigned_bank_type,assigned_bank,laundering_schema_type,laundering_schema_id,laundering_yn
196552809,1156254,6,2,Tuesday,14,3,57,inbound,FOREIGN WIRE TRANSFER,CHAPS,income,other_income,other_uncategorized_income,6300.0,foreign_6,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
196552811,1156254,6,2,Tuesday,15,17,21,outbound,CARD,LINK,other_expenses,cash_withdrawal,other,820.0,cash_88,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
196552810,1156254,6,2,Tuesday,15,27,32,outbound,CARD,LINK,other_expenses,cash_withdrawal,other,740.0,cash_88,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
196552813,1156254,6,3,Wednesday,12,35,41,outbound,CARD,LINK,other_expenses,cash_withdrawal,other,800.0,cash_88,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
196552812,1156254,6,3,Wednesday,18,39,15,outbound,CARD,LINK,other_expenses,cash_withdrawal,other,830.0,cash_88,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
196552814,1156254,6,4,Thursday,9,59,51,outbound,CARD,LINK,other_expenses,cash_withdrawal,other,760.0,cash_88,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
196552815,1156254,6,5,Friday,21,31,0,outbound,CARD,LINK,other_expenses,cash_withdrawal,other,680.0,cash_88,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
196552816,1156254,6,6,Saturday,20,33,15,outbound,CARD,LINK,other_expenses,cash_withdrawal,other,860.0,cash_88,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
196552817,1156254,6,7,Sunday,8,50,18,outbound,CARD,LINK,other_expenses,cash_withdrawal,other,790.0,cash_88,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
196552829,1156254,7,7,Tuesday,14,28,20,inbound,FOREIGN WIRE TRANSFER,CHAPS,income,other_income,other_uncategorized_income,5800.0,foreign_6,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
196552830,1156254,7,7,Tuesday,16,32,55,outbound,CARD,LINK,other_expenses,cash_withdrawal,other,610.0,cash_7,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
196552831,1156254,7,7,Tuesday,18,30,57,outbound,CARD,LINK,other_expenses,cash_withdrawal,other,630.0,cash_7,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
196552832,1156254,7,9,Thursday,14,47,50,outbound,CARD,LINK,other_expenses,cash_withdrawal,other,500.0,cash_7,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
196552833,1156254,7,9,Thursday,17,55,17,outbound,CARD,LINK,other_expenses,cash_withdrawal,other,480.0,cash_7,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
196552834,1156254,7,10,Friday,10,51,56,outbound,CARD,LINK,other_expenses,cash_withdrawal,other,570.0,cash_7,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
196552835,1156254,7,11,Saturday,17,30,13,outbound,CARD,LINK,other_expenses,cash_withdrawal,other,570.0,cash_7,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
196552837,1156254,7,12,Sunday,1,53,49,outbound,CARD,LINK,other_expenses,cash_withdrawal,other,630.0,cash_7,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
196552839,1156254,7,12,Sunday,9,33,36,outbound,CARD,LINK,other_expenses,cash_withdrawal,other,520.0,cash_7,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
196552838,1156254,7,12,Sunday,17,52,21,outbound,CARD,LINK,other_expenses,cash_withdrawal,other,480.0,cash_7,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
196552836,1156254,7,12,Sunday,18,40,12,outbound,CARD,LINK,other_expenses,cash_withdrawal,other,580.0,cash_7,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
196552852,1156254,8,6,Thursday,7,8,38,inbound,FOREIGN WIRE TRANSFER,CHAPS,income,other_income,other_uncategorized_income,6200.0,foreign_6,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
196552853,1156254,8,6,Thursday,20,33,5,outbound,CARD,LINK,other_expenses,cash_withdrawal,other,670.0,cash_88,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
196552854,1156254,8,8,Saturday,11,27,14,outbound,CARD,LINK,other_expenses,cash_withdrawal,other,560.0,cash_88,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
196552855,1156254,8,8,Saturday,17,3,10,outbound,CARD,LINK,other_expenses,cash_withdrawal,other,660.0,cash_88,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
196552856,1156254,8,9,Sunday,9,17,10,outbound,CARD,LINK,other_expenses,cash_withdrawal,other,570.0,cash_88,85.0,89556.12,local,local_2,laundering_schema_7,laundering_schema_7_id149,1
