month,day,weekday,transaction_direction,channel,payment_system,category_0,category_1,category_2,amount,age,initial_balance,assigned_bank_type,assigned_bank,laundering_schema_type,laundering_schema_id,laundering_yn,transactionID,sourceAccountID,targetAccountID,timestamp,fan_in_bins_2-3,fan_in_bins_3-inf,fan_out_bins_2-3,fan_out_bins_3-inf,degree_in_bins_2-3,degree_in_bins_3-inf,degree_out_bins_2-3,degree_out_bins_3-inf,scatter-gather_bins_2-3,scatter-gather_bins_3-inf,temp-cycle_bins_2-3,temp-cycle_bins_3-inf,source_fan_out,source_deg_out,source_ratio_out,source_avg_col3_out,source_sum_col3_out,source_var_col3_out,source_skew_col3_out,source_kurtosis_col3_out,source_fan_in,source_deg_in,source_ratio_in,source_avg_col3_in,source_sum_col3_in,source_var_col3_in,source_skew_col3_in,source_kurtosis_col3_in,dest_fan_out,dest_deg_out,dest_ratio_out,dest_avg_col3_out,dest_sum_col3_out,dest_var_col3_out,dest_skew_col3_out,dest_kurtosis_col3_out,dest_fan_in,dest_deg_in,dest_ratio_in,dest_avg_col3_in,dest_sum_col3_in,dest_var_col3_in,dest_skew_col3_in,dest_kurtosis_col3_in
1,4,Saturday,inbound,WIRE TRANSFER,BACS,income,pension,other,515.0,65.0,16025.61,large,large_1,,,0,0.0,0.0,160.0,15.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,10.5,35.285714285714285,741.0,287.3469387755102,-0.3527722050231137,1.6745855258910127
1,5,Sunday,outbound,OTHER,OTHER,taxes,other,other,8.6,65.0,16025.61,large,large_1,,,0,1.0,0.0,221.0,38262.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,37.0,6.166666666666667,58482.16216216217,2163840.0,375175756.1358656,-0.1407989068848027,1.5573968333146928
1,9,Thursday,outbound,OTHER,OTHER,commissions_bank_fees,other,other,2.0,65.0,16025.61,large,large_1,,,0,2.0,0.0,89.0,507.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,204.0,22.666666666666668,863.5882352941176,176172.0,260320.35986159183,0.0859489307214686,1.7299882722524076
2,1,Saturday,inbound,WIRE TRANSFER,BACS,income,pension,other,515.0,65.0,16025.61,large,large_1,,,0,4.0,0.0,160.0,40.0,9.0,0.0,0.0,0.0,0.0,9.0,2.0,3.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,10.5,35.285714285714285,741.0,287.3469387755102,-0.3527722050231137,1.6745855258910127
2,1,Saturday,outbound,OTHER,OTHER,other_expenses,other,other,2000.0,65.0,16025.61,large,large_1,,,0,3.0,0.0,159.0,41756.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,115.0,19.166666666666668,54922.0608695652,6316037.0,219511604.52673,-0.6099360441125831,2.821914233525591
2,3,Monday,inbound,OTHER,OTHER,financial_assets,managed_account,profits_dividends,16.95,65.0,16025.61,large,large_1,,,0,5.0,0.0,118.0,43609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,64645.66666666666,193937.0,262028512.88888893,-0.2454973421606495,1.4999999999999998
2,3,Monday,outbound,SDD,BACS,other_expenses,other,other,20.0,65.0,16025.61,large,large_1,,,0,6.0,0.0,159.0,62522.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,115.0,19.166666666666668,54922.0608695652,6316037.0,219511604.52673,-0.6099360441125831,2.821914233525591
2,7,Friday,outbound,OTHER,OTHER,commissions_bank_fees,other,other,2.0,65.0,16025.61,large,large_1,,,0,7.0,0.0,89.0,1225.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,204.0,22.666666666666668,863.5882352941176,176172.0,260320.35986159183,0.0859489307214686,1.7299882722524076
3,2,Monday,inbound,WIRE TRANSFER,BACS,income,pension,other,515.0,65.0,16025.61,large,large_1,,,0,8.0,0.0,160.0,56.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,10.5,35.285714285714285,741.0,287.3469387755102,-0.3527722050231137,1.6745855258910127
3,3,Tuesday,outbound,SDD,BACS,other_expenses,other,other,20.0,65.0,16025.61,large,large_1,,,0,9.0,0.0,159.0,76203.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,7.857142857142857,33103.181818181816,1820675.0,970024405.3851242,0.174385186491187,1.417659347762402,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,115.0,19.166666666666668,54922.0608695652,6316037.0,219511604.52673,-0.6099360441125831,2.821914233525591
