Feature,Importance
transactionID,24.149000183878446
month,9.285762502925236
day,8.91217834542929
source_kurtosis_col3_out,8.099769770110543
source_avg_col3_out,6.0303667753835075
age,4.692914676592046
sourceAccountID,4.417783202707941
source_sum_col3_out,4.312321065851284
weekday,2.58417525261899
timestamp,1.8840762059444751
category_1,1.7238364820881504
assigned_bank,1.703275100127467
targetAccountID,1.4689409826316115
category_2,1.31110042695614
source_skew_col3_out,1.2979789195127447
source_var_col3_out,1.2918322799415147
dest_var_col3_in,1.2667463491414008
transaction_direction,1.1986158270030607
source_ratio_out,1.1631279697849073
source_fan_in,1.0360927347686604
degree_out_bins_3-inf,1.0160756760499867
category_0,0.9271332516242338
source_avg_col3_in,0.9184803342649126
degree_out_bins_2-3,0.9067869286825581
channel,0.7902557613396698
source_sum_col3_in,0.7670409675747366
dest_skew_col3_in,0.756446804127746
degree_in_bins_2-3,0.6868349275432054
source_fan_out,0.6077374656977801
source_ratio_in,0.5640522421967502
initial_balance,0.5147237441263322
dest_fan_in,0.3955783958029642
dest_kurtosis_col3_out,0.3948392154551834
dest_sum_col3_in,0.35714399743400965
dest_avg_col3_in,0.3294012311827967
dest_var_col3_out,0.3238217711285199
fan_in_bins_3-inf,0.30209262913195706
dest_deg_in,0.27046757817479405
dest_fan_out,0.17626220085833286
dest_kurtosis_col3_in,0.16483658967279205
dest_ratio_in,0.15633433932309135
dest_ratio_out,0.13470746932831051
dest_deg_out,0.1213125335635608
dest_skew_col3_out,0.11908499525043058
fan_in_bins_2-3,0.08624325356370349
dest_sum_col3_out,0.08274318669444129
source_kurtosis_col3_in,0.07702909735929209
dest_avg_col3_out,0.05870439854466525
degree_in_bins_3-inf,0.05136533770389337
amount,0.042127519570084204
source_deg_in,0.041075759442217946
fan_out_bins_3-inf,0.027177049535913968
fan_out_bins_2-3,0.0021882946537217667
payment_system,0.0
scatter-gather_bins_3-inf,0.0
temp-cycle_bins_2-3,0.0
source_var_col3_in,0.0
assigned_bank_type,0.0
laundering_schema_type,0.0
laundering_schema_id,0.0
source_deg_out,0.0
scatter-gather_bins_2-3,0.0
temp-cycle_bins_3-inf,0.0
source_skew_col3_in,0.0
