transaction_id,account_id,month,day,weekday,hour,min,sec,transaction_direction,channel,payment_system,category_0,category_1,category_2,amount,counterpart_id
0,0,1,4,Saturday,0,0,15,inbound,WIRE TRANSFER,BACS,income,pension,other,515.0,pension_1
1,0,1,5,Sunday,10,37,42,outbound,OTHER,OTHER,taxes,other,other,8.6,taxes_1
2,0,1,9,Thursday,0,8,27,outbound,OTHER,OTHER,commissions_bank_fees,other,other,2.0,bank_commission_1
4,0,2,1,Saturday,0,0,40,inbound,WIRE TRANSFER,BACS,income,pension,other,515.0,pension_1
3,0,2,1,Saturday,11,35,56,outbound,OTHER,OTHER,other_expenses,other,other,2000.0,other_1
5,0,2,3,Monday,12,6,49,inbound,OTHER,OTHER,financial_assets,managed_account,profits_dividends,16.95,financial_assets_managed_10
6,0,2,3,Monday,17,22,2,outbound,SDD,BACS,other_expenses,other,other,20.0,other_1
7,0,2,7,Friday,0,20,25,outbound,OTHER,OTHER,commissions_bank_fees,other,other,2.0,bank_commission_1
8,0,3,2,Monday,0,0,56,inbound,WIRE TRANSFER,BACS,income,pension,other,515.0,pension_1
9,0,3,3,Tuesday,21,10,3,outbound,SDD,BACS,other_expenses,other,other,20.0,other_1
10,0,3,6,Friday,0,28,18,outbound,OTHER,OTHER,commissions_bank_fees,other,other,2.0,bank_commission_1
11,0,3,13,Friday,18,12,20,outbound,OTHER,OTHER,other_expenses,other,other,2000.0,other_1
12,0,3,17,Tuesday,11,35,56,outbound,CHECK,ICS,other_expenses,check,other,1200.0,other_1
14,0,3,31,Tuesday,10,37,42,outbound,OTHER,OTHER,taxes,real_estate_assets,other,6.0,taxes_1
13,0,3,31,Tuesday,18,2,48,outbound,OTHER,OTHER,taxes,other,other,28.0,taxes_1
15,0,4,1,Wednesday,0,0,43,inbound,WIRE TRANSFER,BACS,income,pension,other,515.0,pension_1
16,0,4,2,Thursday,22,56,3,outbound,OTHER,OTHER,taxes,other,other,8.5,taxes_1
18,0,4,3,Friday,11,5,18,inbound,WIRE TRANSFER,FPS,material_assets,real_estate_property,other,3000.0,real_estate_4
