amount_binned,laundering_yn_0,laundering_yn_1
0.00-307957.65,307559720,35107
307957.65-615915.30,1448,0
615915.30-923872.95,166,0
923872.95-1231830.60,50,0
1231830.60-1539788.25,40,0
1539788.25-1847745.90,12,0
1847745.90-2155703.55,14,0
2155703.55-2463661.20,6,0
2463661.20-2771618.85,6,0
2771618.85-3079576.50,2,0
3079576.50-3387534.15,0,0
3387534.15-3695491.80,2,0
3695491.80-4003449.45,0,0
4003449.45-4311407.10,2,0
4311407.10-4619364.75,0,0
4619364.75-4927322.40,0,0
4927322.40-5235280.05,0,0
5235280.05-5543237.70,0,0
5543237.70-5851195.35,0,0
5851195.35-6159153.00,2,0
