initial_balance_binned,laundering_yn_0,laundering_yn_1
-995.26-349923.34,302508128,34047
349923.34-700841.93,4850131,1033
700841.93-1051760.53,133484,19
1051760.53-1402679.12,29640,0
1402679.12-1753597.71,15788,8
1753597.71-2104516.31,8114,0
2104516.31-2455434.90,4924,0
2455434.90-2806353.50,3854,0
2806353.50-3157272.09,1483,0
3157272.09-3508190.68,429,0
3508190.68-3859109.28,1029,0
3859109.28-4210027.87,1063,0
4210027.87-4560946.47,616,0
4560946.47-4911865.06,0,0
4911865.06-5262783.66,855,0
5262783.66-5613702.25,0,0
5613702.25-5964620.84,0,0
5964620.84-6315539.44,1320,0
6315539.44-6666458.03,0,0
6666458.03-7017376.63,612,0
